"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id"
"1814","61814","UNION & HEATHER","","37.244221260000003","-121.9311409","1"
"1084","61084","LOS GATOS-ALMADEN & UNION","","37.243344399999998","-121.9306247","1"
"1817","61817","SAMARITAN & ESTHER","","37.250707230000003","-121.93564720000001","1"
"1749","61749","SAMARITAN & ESTHER","","37.250590379999998","-121.9351961","1"
"1750","61750","UNION & SAMARITAN","","37.250184050000001","-121.93143910000001","1"
"1816","61816","SAMARITAN & UNION","","37.250729999999997","-121.93224360000001","1"
"1751","61751","UNION & CARLTON","","37.248009359999998","-121.9313834","1"
"1752","61752","UNION & ROSSWOOD","","37.246455140000002","-121.9313677","1"
"1815","61815","UNION & ROSSWOOD","","37.246592489999998","-121.9311606","1"
"2884","62884","UNION & STRATFORD","","37.258631219999998","-121.93143739999999","1"
"2806","62806","UNION & STRATFORD","","37.258773239999996","-121.9312402","1"
"2885","62885","UNION & BARRETT","","37.254946820000001","-121.93140390000001","1"
"1690","61690","UNION & FOXWORTHY","","37.267018239999999","-121.9315756","1"
"2809","62809","UNION & CAMBRIANA","","37.26479981","-121.93133950000001","1"
"1691","61691","UNION & CAMBRIANA","","37.264008509999996","-121.9315556","1"
"2808","62808","UNION & CAMDEN","","37.262134920000001","-121.9313094","1"
"1738","61738","CAMDEN & TAPER","","37.261867459999998","-121.9288784","1"
"1692","61692","CAMDEN & UNION","","37.261605029999998","-121.9302488","1"
"2807","62807","UNION & WOODARD","","37.260902459999997","-121.9312853","1"
"1686","61686","CAMDEN & UNION","","37.261891689999999","-121.9323952","1"
"5631","65631","CAMDEN & ESTHER","","37.261851","-121.93461600000001","1"
"918","60918","UNION & BASCOM","","37.273756120000002","-121.9335545","1"
"919","60919","CURTNER & UNION","","37.272475020000002","-121.9324206","1"
"2883","62883","UNION & LANTZ","","37.272064489999998","-121.9328392","1"
"2810","62810","UNION & FOXWORTHY","","37.267714679999997","-121.9313769","1"
"974","60974","UNION & CURTNER","","37.273341199999997","-121.9331353","1"
"2811","62811","UNION & LANTZ","","37.27166776","-121.9324146","1"
"2812","62812","BASCOM & CURTNER","","37.273003240000001","-121.9350104","1"
"977","60977","BASCOM & DRY CREEK (FS)","","37.280387070000003","-121.9314931","1"
"916","60916","BASCOM & DRY CREEK","","37.279905620000001","-121.93184789999999","1"
"976","60976","BASCOM @ UNEMPLOYMENT OFFICE","","37.278369900000001","-121.9317645","1"
"917","60917","BASCOM & SURREY","","37.276987679999998","-121.9325989","1"
"975","60975","BASCOM & ELDEN","","37.274916310000002","-121.93342560000001","1"
"2886","62886","BASCOM & UNION","","37.27382996","-121.9347326","1"
"981","60981","CAMPBELL & UNION","","37.287174540000002","-121.93571439999999","1"
"980","60980","CAMPBELL & BASCOM","","37.287155720000001","-121.9332812","1"
"2813","62813","BASCOM & CAMPBELL","","37.287416450000002","-121.9315084","1"
"912","60912","CAMPBELL & UNION","","37.286979250000002","-121.9349857","1"
"913","60913","BASCOM & CAMPBELL","","37.286579490000001","-121.9318226","1"
"914","60914","BASCOM & EL SOLYO","","37.284646539999997","-121.9318145","1"
"979","60979","BASCOM & EL SOLYO","","37.284619790000001","-121.9314988","1"
"915","60915","BASCOM & APRICOT","","37.282097010000001","-121.93181060000001","1"
"978","60978","BASCOM & DRY CREEK (MD)","","37.282114249999999","-121.9314906","1"
